status,report,source,chars
rewritten,00-books-result/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/B1267-Learning-to-Consume-preface-report.md,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo_01_preface_Learning_to_Consume__Early_Dep.md,10001
rewritten,00-books-result/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/B1268-Department-Stores-body-report.md,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo_02_body_The_Department_Stores_as_Comme.md,11700
rewritten,00-books-result/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/B1269-Department-Stores-notes-report.md,00-books/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo/1860-1914：《Learning to Consume Early Department Stores and the Shaping of the Mo_03_bibliography_Notes___References.md,8426
rewritten,00-books-result/A. H. Munsell：《A color notation》/B1270-A-Color-Notation-full-report.md,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》.md,12238
rewritten,00-books-result/A. H. Munsell：《A color notation》/B1272-A-Color-Notation-preface-report.md,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_02_preface_A_COLOR_NOTATION___AN_ILLUSTRA.md,10446
rewritten,00-books-result/A. H. Munsell：《A color notation》/B1274-Color-Notation-Chapter-I-report.md,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_04_body_CHAPTER_I___COLOR_NOTATION___O.md,13350
rewritten,00-books-result/A. H. Munsell：《A color notation》/B1278-Color-Psychology-Physics-report.md,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_08_body_PSYCHOLOGY___PHYSICS—A_Prismat.md,8659
rewritten,00-books-result/A. H. Munsell：《A color notation》/B1280-Color-Atlas-Evaluation-report.md,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_10_body_COLOR_ATLAS___EVALUATION.md,7826
rewritten,00-books-result/A. H. Munsell：《A color notation》/B1284-Alphabetical-Color-Names-report.md,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_14_body_ALPHABETICAL_LIST_OF_NAMES_wit.md,9967
rewritten,00-books-result/A. H. Munsell：《A color notation》/B1285-Luminous-Reflectances-report.md,00-books/A. H. Munsell：《A color notation》/A. H. Munsell：《A color notation》_15_bibliography_TABLE_OF_LUMINOUS_REFLECTANCES.md,8837
rewritten,"00-books-result/Adam, Peter：Eileen Gray：Architect, Designer, 1987/B1286-Eileen-Gray-Early-Youth-report.md","00-books/Adam, Peter：Eileen Gray：Architect, Designer, 1987/01-EARLYYOUTH.md",7731
